,assets,income,expenses,irs_form
156,"$642,223 ",,,https://www.guidestar.org/FinDocuments/2016/264/432/2016-264432572-0e6b8fd6-F.pdf
157,,,,
158,,,,
159,,,,
160,"$5,381,770 ",,,https://www.guidestar.org/FinDocuments/2017/237/167/2017-237167258-0eeab245-9.pdf
161,,,,https://www.guidestar.org/FinDocuments/2017/821/683/2017-821683023-0f606ec7-Z.pdf
162,"$554,407 ","$904,753 ","$918,422 ",https://www.guidestar.org/FinDocuments/2017/841/283/2017-841283161-0e802302-9.pdf
163,,,,
164,"$3,289,039 ",,,https://www.guidestar.org/FinDocuments/2017/841/150/2017-841150507-0ee6468a-9.pdf
165,,,,https://www.guidestar.org/FinDocuments/2016/841/205/2016-841205166-0ea99cf6-Z.pdf
166,"$1,010,320 ",,,https://www.guidestar.org/FinDocuments/2015/261/166/2015-261166378-0d63a12e-F.pdf
167,"$2,715,488 ",,,https://www.guidestar.org/FinDocuments/2016/465/508/2016-465508708-0e7a0848-9.pdf
168,"$216,955 ",,,https://www.guidestar.org/FinDocuments/2017/680/634/2017-680634782-0ee5061b-F.pdf
169,"$13,248,570 ","$5,591,593 ","$5,506,797 ",https://www.guidestar.org/FinDocuments/2016/840/152/2016-840152768-0e59c3ec-9.pdf
170,"$71,987 ","$487,637 ","$289,913 ",https://www.guidestar.org/FinDocuments/2016/841/439/2016-841439821-0ec3ffea-9.pdf
171,,,,https://www.guidestar.org/FinDocuments/2011/841/469/2011-841469753-084c3b2d-Z.pdf
172,"$1,823,751 ","$2,397,929 ","$1,913,949 ",https://www.guidestar.org/FinDocuments/2016/680/606/2016-680606330-0e159a60-9.pdf
173,"$31,961,116 ","$6,753,039 ","$6,948,479 ",https://www.guidestar.org/FinDocuments/2016/742/449/2016-742449502-0e513566-9.pdf
174,,,,
175,,,,https://www.guidestar.org/FinDocuments/2014/237/188/2014-237188821-0b1815be-9.pdf
176,"$246,436,558 ",,,https://www.guidestar.org/FinDocuments/2016/840/412/2016-840412668-0e1c53fa-9.pdf
177,"$22,492,065 ",,"$19,950,349 ",https://www.guidestar.org/FinDocuments/2016/840/777/2016-840777296-0e528e0a-9.pdf
178,"$1,002,240 ",,"$173,997 ",https://www.guidestar.org/FinDocuments/2017/840/984/2017-840984449-0e976712-9.pdf
179,"$3,719 ",,"$35,746 ",https://www.guidestar.org/FinDocuments/2017/208/270/2017-208270079-0ed3c6a5-Z.pdf
180,"$14,500,938 ",,,https://www.guidestar.org/FinDocuments/2016/846/008/2016-846008945-0e076432-9.pdf
181,,,,
182,,,,
183,"$1,052,817 ","$851,783 ","$818,049 ",https://www.guidestar.org/FinDocuments/2016/460/505/2016-460505155-0e631607-9.pdf
184,"$71,987 ","$487,637 ","$289,913 ",https://www.guidestar.org/FinDocuments/2016/841/439/2016-841439821-0ec3ffea-9.pdf
185,,,,
